up,importe,year,tipo-up
Coordinacion General Estrategica de Gestion del Territorio,19,"2,019",Coordinacion
Coordinacioin General Estrategica de Seguridad,260,"2,019",Coordinacion
Jefatura de Gabinete,158,"2,019",Org. Autonomo
Consejeria Juridica del Poder Ejecutivo del Estado,25,"2,019",Org. Autonomo
Fiscalia Especializada en Combate a la Corrupcion,0,"2,019",Fiscalia
Fiscalia Especializada en Materia de Delitos Electorales,0,"2,019",Fiscalia
"Aportaciones, Transferencias y Subsidios a Municipios","7,571","2,020",Grandes
Comision Estatal de Derechos Humanos de Jalisco,149,"2,020",Org. Autonomo
CESJAL,0,"2,020",Org. Autonomo
Contraloria del Estado,111,"2,020",Org. Autonomo
Despacho del Gobernador,7,"2,020",Org. Autonomo
Deuda Pulica,"2,603","2,020",
Fiscalia Estatal,"2,736","2,020",Fiscalia
ITEI,58,"2,020",Org. Autonomo
IEPC,171,"2,020",Org. Autonomo
Participaciones,"18,003","2,020",Org. Autonomo
Poder Judicial,"1,739","2,020",Org. Autonomo
Poder Legislativo del Estado de Jalisco,997,"2,020",Org. Autonomo
Procuraduria Social,155,"2,020",Org. Autonomo
Secretaria de Cultura,724,"2,020",Secretaria
Secretaria de Igualdad Sustantiva entre Mujeres y Hombres,373,"2,020",Secretaria
Secretaria de Desarrollo Economico,340,"2,020",Secretaria
Secretaria de Agricultura y Desarrollo Rural,"1,651","2,020",Secretaria
Secretaria de Educacion,"33,378","2,020",Grandes
Secretaria de Infraestructura y Obra Publica,"6,468","2,020",Secretaria
"Secretaria de Innovacion, Ciencia y Tecnologia",866,"2,020",Secretaria
Secretaria de Medio Ambiente y Desarrollo Territorial,"1,042","2,020",Secretaria
Secretaria del Transporte,"1,701","2,020",Secretaria
Secretaria de Administracion,"1,271","2,020",Secretaria
Secretaria de Salud Jalisco,"13,615","2,020",Grandes
Secretaria de Turismo,170,"2,020",Secretaria
Secretaria del Trabajo y Prevision Social,415,"2,020",Secretaria
Secretaria General de Gobierno,830,"2,020",Secretaria
Tribunal de Arbitraje y Escalafon,60,"2,020",Org. Autonomo
Tribunal de Justicia Administrativa del Estado de Jalisco,148,"2,020",Org. Autonomo
Tribunal Electoral del Estado de Jalisco,44,"2,020",Org. Autonomo
Unidades Administrativas de Apoyo,413,"2,020",Org. Autonomo
Universidad de Guadalajara,"12,194","2,020",Grandes
Unidad de Enlace Federal y Asuntos Internacionales,29,"2,020",Org. Autonomo
Secretaria de Gestion Integral del Agua,482,"2,020",Secretaria
Secretaria de la Hacienda Publica,"1,947","2,020",Secretaria
Secretaria del Sistema de Asistencia Social,"3,314","2,020",Secretaria
Secretaria de Planeacion y Participacion Ciudadana,94,"2,020",Secretaria
Secretaria de Seguridad,"5,154","2,020",Secretaria
Secretaria Ejecutiva del Sistema Estatal Anti-Corrupcion,41,"2,020",Secretaria
Coordinacion General Estrategica de Crecimiento y Desarrollo Economico,18,"2,020",Coordinacion
Coordinacion General Estrategica de Desarrollo Social,372,"2,020",Coordinacion
Coordinacion General Estrategica de Gestion del Territorio,14,"2,020",Coordinacion
Coordinacioin General Estrategica de Seguridad,724,"2,020",Coordinacion
Jefatura de Gabinete,108,"2,020",Org. Autonomo
Consejeria Juridica del Poder Ejecutivo del Estado,29,"2,020",Org. Autonomo
Fiscalia Especializada en Combate a la Corrupcion,66,"2,020",Fiscalia
Fiscalia Especializada en Materia de Delitos Electorales,5,"2,020",Fiscalia
