up(2018),importe(2018),mmdp(2018),up(2019),importe(2019),mmdp(2019),up(2020),importe(2020),mmdp(2020),resta19-18,resta20-19
"SECRETARIA DE PLANEACION, ADMINISTRACION Y FINANZAS","2,132,994,629",2.132994629,SECRETARIA DE ADMINISTRACION,"938,581,111",0.938581111,Secretaria de Administracion,"1,271,105,823",1.271105823,-1.194413518,0.332524712
SECRETARIA DE SALUD JALISCO,"13,598,656,152",13.59865615,SECRETARIA DE SALUD JALISCO,"13,751,926,519",13.75192652,Secretaria de Salud Jalisco,"13,614,740,488",13.61474049,0.15327037,-0.13718603
SECRETARIA DE TURISMO,"165,377,156",0.165377156,SECRETARIA DE TURISMO,"190,354,157",0.190354157,Secretaria de Turismo,"170,248,599",0.170248599,0.024977001,-0.020105558
SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,"439,458,951",0.439458951,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,"437,765,191",0.437765191,Secretaria del Trabajo y Prevision Social,"414,735,539",0.414735539,-0.00169376,-0.023029652
SECRETARIA GENERAL DE GOBIERNO,"1,120,203,278",1.120203278,SECRETARIA GENERAL DE GOBIERNO,"737,107,291",0.737107291,Secretaria General de Gobierno,"829,628,560",0.82962856,-0.383095987,0.092521269
TRIBUNAL DE ARBITRAJE Y ESCALAFON,"61,125,742",0.061125742,TRIBUNAL DE ARBITRAJE Y ESCALAFON,"62,520,480",0.06252048,Tribunal de Arbitraje y Escalafon,"59,766,053",0.059766053,0.001394738,-0.002754427
TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE JALISCO,"123,995,727",0.123995727,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE JALISCO,"123,995,727",0.123995727,Tribunal de Justicia Administrativa del Estado de Jalisco,"147,995,792",0.147995792,0,0.024000065
TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO,"68,328,634",0.068328634,TRIBUNAL ELECTORAL DEL ESTADO DE JALISCO,"37,330,044",0.037330044,Tribunal Electoral del Estado de Jalisco,"44,016,200",0.0440162,-0.03099859,0.006686156
UNIDADES ADMINISTRATIVAS DE APOYO,"228,318,422",0.228318422,UNIDADES ADMINISTRATIVAS DE APOYO,"394,142,705",0.394142705,Unidades Administrativas de Apoyo,"413,159,252",0.413159252,0.165824283,0.019016547
UNIVERSIDAD DE GUADALAJARA,"11,380,311,741",11.38031174,UNIVERSIDAD DE GUADALAJARA,"12,043,081,501",12.0430815,Universidad de Guadalajara,"12,194,271,500",12.1942715,0.66276976,0.15119
UNIDAD DE ENLACE FEDERAL Y ASUNTOS INTERNACIONALES,0,0,UNIDAD DE ENLACE FEDERAL Y ASUNTOS INTERNACIONALES,"20,882,415",0.020882415,Unidad de Enlace Federal y Asuntos Internacionales,"29,318,015",0.029318015,0.020882415,0.0084356
SECRETARIA DE GESTION INTEGRAL DEL AGUA,0,0,SECRETARIA DE GESTION INTEGRAL DEL AGUA,"1,610,751,926",1.610751926,Secretaria de Gestion Integral del Agua,"481,846,054",0.481846054,1.610751926,-1.128905872
SECRETARIA DE LA HACIENDA PUBLICA,0,0,SECRETARIA DE LA HACIENDA PUBLICA,"1,444,250,711",1.444250711,Secretaria de la Hacienda Publica,"1,947,152,578",1.947152578,1.444250711,0.502901867
SECRETARIA DEL SISTEMA DE ASISTENCIA SOCIAL,0,0,SECRETARIA DEL SISTEMA DE ASISTENCIA SOCIAL,"2,666,601,420",2.66660142,Secretaria del Sistema de Asistencia Social,"3,313,511,695",3.313511695,2.66660142,0.646910275
SECRETARIA DE PLANEACION Y PARTICIPACION CIUDADANA,0,0,SECRETARIA DE PLANEACION Y PARTICIPACION CIUDADANA,"606,611,781",0.606611781,Secretaria de Planeacion y Participacion Ciudadana,"93,751,749",0.093751749,0.606611781,-0.512860032
SECRETARIA DE SEGURIDAD,0,0,SECRETARIA DE SEGURIDAD,"4,613,153,170",4.61315317,Secretaria de Seguridad,"5,154,063,671",5.154063671,4.61315317,0.540910501
SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTI-CORRUPCION,0,0,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTI-CORRUPCION,"50,178,924",0.050178924,Secretaria Ejecutiva del Sistema Estatal Anti-Corrupcion,"40,953,000",0.040953,0.050178924,-0.009225924
COORDINACION GENERAL ESTRATEGICA DE CRECIMIENTO Y DESARROLLO ECONOMICO,0,0,COORDINACION GENERAL ESTRATEGICA DE CRECIMIENTO Y DESARROLLO ECONOMICO,"11,638,334",0.011638334,Coordinacion General Estrategica de Crecimiento y Desarrollo Economico,"18,015,742",0.018015742,0.011638334,0.006377408
COORDINACION GENERAL ESTRATEGICA DE DESARROLLO SOCIAL,0,0,COORDINACION GENERAL ESTRATEGICA DE DESARROLLO SOCIAL,"362,291,213",0.362291213,Coordinacion General Estrategica de Desarrollo Social,"372,186,933",0.372186933,0.362291213,0.00989572
COORDINACION GENERAL ESTRATEGICA DE GESTION DEL TERRITORIO,0,0,COORDINACION GENERAL ESTRATEGICA DE GESTION DEL TERRITORIO,"18,606,033",0.018606033,Coordinacion General Estrategica de Gestion del Territorio,"14,488,283",0.014488283,0.018606033,-0.00411775
COORDINACION GENERAL ESTRATEGICA DE SEGURIDAD,0,0,COORDINACION GENERAL ESTRATEGICA DE SEGURIDAD,"259,791,677",0.259791677,Coordinacion General Estrategica de Seguridad,"723,523,749",0.723523749,0.259791677,0.463732072
JEFATURA DE GABINETE,0,0,JEFATURA DE GABINETE,"158,332,030",0.15833203,Jefatura de Gabinete,"107,696,684",0.107696684,0.15833203,-0.050635346
CONSEJERIA JURIDICA DEL PODER EJECUTIVO DEL ESTADO,0,0,CONSEJERIA JURIDICA DEL PODER EJECUTIVO DEL ESTADO,"25,378,824",0.025378824,Consejeria Juridica del Poder Ejecutivo del Estado,"29,294,264",0.029294264,0.025378824,0.00391544
,,,Fiscalia Especializada en Combate a la Corrupcion,0,0,Fiscalia Especializada en Combate a la Corrupcion,"66,220,466",0.066220466,,0.066220466
,,,Fiscalia Especializada en Materia de Delitos Electorales,0,0,Fiscalia Especializada en Materia de Delitos Electorales,"4,759,833",0.004759833,,0.004759833
