Gobierno del Estado de Jalisco,,,,,
Presupuesto de egresos para el ejercicio fiscal 2018,,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,,
UP,UR,PP,Programa Presupuestario,Importe,Year
04,000,655,Administración Educativa Regional,"119,480,161.24",2018
04,000,790,Programa de la Reforma Educativa,"29,381,640.00",2018
04,000,807,Administración del Sistema Educativo Estatal,"500,796,073.90",2018
04,000,808,Planeación y Evaluación del Sistema Educativo Estatal,"50,131,998.04",2018
04,000,809,Apoyos educativos para grupos vulnerables y la formación integral,"673,900,022.74",2018
04,000,810,Formación inicial y de posgrado para los docentes de educación básica,"224,365,782.45",2018
04,000,811,Fomento de la salud de los alumnos de Educación Básica,"14,429,504.81",2018
04,009,148,Formación Profesional Técnica y Técnica Bachiller,"290,334,183.00",2018
04,010,149,Oferta de bachillerato tecnológico con calidad y pertinencia en Jalisco,"406,744,499.00",2018
04,011,150,Oferta de Bachillerato General en el estado de Jalisco en sus diferentes Opciones,"431,693,847.00",2018
04,012,105,"Gestión Institucional del CODE para el aprovechamiento de los espacios públicos, deportivos y de recreación","13,056,285.66",2018
04,012,106,Actividad Física y Bienestar para todos,"1,041,344.68",2018
04,012,107,Deporte de alto rendimiento en todas sus manifestaciones y expresiones,"13,130,410.63",2018
04,012,108,Gestión Administrativa y Operativa del CODE,"250,382,926.46",2018
04,013,151,Formación y Capacitación para el Trabajo,"102,405,575.00",2018
04,014,152,Operación de los servicios educativos del Instituto Estatal para la Educación de Jóvenes y Adultos,"151,162,404.00",2018
04,015,812,Operación de los programas de infraestructura escolar en el Estado,"559,893,585.00",2018
04,056,795,Educación Superior en Restauración de Bienes Muebles (ECRO),"5,398,822.00",2018
05,000,665,Rectoría del Sector Salud,"89,000,361.00",2018
05,016,182,Ampliar el acceso efectivo a los servicios de salud,"1,005,276,948.00",2018
05,016,190,Programa de Calidad en la Prestación de los Servicios de Salud a la Persona,"3,286,990,339.33",2018
05,016,193,Impulsar la integración funcional hacia la universalidad de los servicios de salud,"522,818,056.00",2018
05,017,909,"Prevención, Promoción, Atención y Formación en Salud para Proporcionar Servicios Integrales de Segundo y Tercer nivel a la Población de la Región Centro del Estado de Jalisco.","3,727,942,173.80",2018
05,018,801,Atención especializada a pacientes con cáncer,"105,607,858.00",2018
05,019,164,Fortalecimiento de la cultura integral de trasplante de órganos y tejidos,"14,262,990.00",2018
05,022,191,Atención del conflicto médico paciente,"9,536,114.00",2018
05,114,713,Sistema de Protección Social en Salud de Jalisco,"4,558,676,120.00",2018
05,149,155,Operación de los Centros de Atención Primaria en Adicciones (CAPA),"40,792,334.75",2018
05,149,637,Prevención en el uso y abuso de sustancias adictivas,"40,857,496.96",2018
05,150,171,Prevención de Accidentes,"5,308,112.78",2018
05,150,172,Sistema de Atención Médica de Urgencias (S.A.M.U.),"19,837,280.99",2018
05,151,178,Prevención y control del Virus de la Inmunodeficiencia Humana,"19,280,381.81",2018
05,153,167,"Promoción, prevención y Atención oportuna de los trastornos mentales en la población jalisciense.","106,789,633.00",2018
05,154,189,"Atención medica con calidad a pacientes con dolor crónico o fase terminal, en el Estado de Jalisco.","8,590,653.00",2018
05,155,715,Programas y Proyectos de Protección contra Riesgos Sanitarios,"37,089,299.00",2018
06,000,195,Ejecución y supervisión de la obra pública,"557,502,759.42",2018
06,000,196,Proyectos para el desarrollo de infraestructura urbana en el estado de Jalisco,"24,000,180.00",2018
06,000,205,Fondo Complementario para el Desarrollo Regional (FONDEREG),"240,000,000.00",2018
06,000,206,Obra Pública mediante los Fondos Metropolitanos de Jalisco,"479,525,996.00",2018
06,000,214,Conservación de la red carretera estatal,"636,279,736.00",2018
06,000,216,Construcción de la red carretera estatal,"56,551,077.00",2018
06,000,219,Gestión y fomento para el desarrollo y la mejora de infraestructura social y productiva del Estado de Jalisco,"427,343,952.24",2018
06,000,269,Generación de Infraestructura Productiva Rural y Social Básica,"222,429,100.00",2018
06,000,270,Infraestructura en Caminos Rurales,"9,525,259.00",2018
06,000,734,Fondo concursable para el Desarrollo de infraestructura en los Municipios del Estado.,"465,521,184.00",2018
06,000,910,"Gestión para el desarrollo de la Infraestructura en la entidad, mediante la proyección y construcción de las obras públicas.","205,764,817.30",2018
06,023,203,Gestión integral de los recursos hídricos,"510,779,000.00",2018
07,000,225,Jalisco Competitivo,"169,280,609.03",2018
07,000,228,Invierte en Jalisco,"176,449,057.98",2018
07,000,231,Principios de Buen Gobierno y Desarrollo institucional,"43,105,475.92",2018
07,026,235,"Fomento a la Industria, Comercio y Servicios CEPE","40,426,201.00",2018
07,027,236,Programa de Fomento a la Artesanía Jalisciense,"15,839,138.00",2018
07,029,248,Programa Estratégico para el Fomento al Comercio Exterior y Atracción de la Inversión,"14,092,554.00",2018
07,030,234,Emprendurismo con Calidad,"10,112,949.00",2018
07,031,251,Fondo Jalisco de Fomento Empresarial,"10,000,000.00",2018
07,095,237,"Infraestructura cinematográfica, audiovisual y de publicidad","21,500,000.00",2018
08,000,253,Conducción de la Política Turística Estatal,"42,896,645.70",2018
08,000,254,Promoción Turística del Estado de Jalisco,"47,538,214.87",2018
08,000,256,Planeación y Desarrollo de Producto,"5,688,668.35",2018
08,000,257,Recorridos turísticos,"5,671,229.62",2018
08,000,258,Información Estadística e Investigación de Mercados,"2,277,034.05",2018
08,000,261,Soporte Jurídico de la Secretaría de Turismo,"6,876,304.75",2018
08,000,262,Promoción y Fomento a la Inversión Turística Privada,"3,839,788.98",2018
08,000,267,Apoyo a la operación turística regional,"7,441,711.75",2018
08,000,653,Gestión de Inversión Pública en Infraestructura y equipamiento turístico,"41,386,170.56",2018
08,000,659,Capacitación y Competitividad Turística,"1,761,387.76",2018
09,000,275,Desarrollo y fomento de Actividades Acuícolas y Pesqueras en el Estado de Jalisco,"25,287,930.02",2018
09,000,276,Estímulo y reactivación de rastros,"4,151,714.46",2018
09,000,279,Programa las Organizaciones Cooperativas para el Bienestar de la Mujer Productiva Rural.,"4,813,341.00",2018
09,000,290,"Programa de Apoyo a la Agricultura, seguro por siniestros en actividades agropecuarias","79,900,948.00",2018
09,000,292,Fortalecimiento a los Centros de Desarrollo Frutícola CDF y capacitación a productores hortofrutícolas de Jalisco,"12,250,737.00",2018
09,000,296,Programa Estatal de Apoyo y Servicios a la Ganadería y al Sector Lechero,"34,647,815.44",2018
09,000,304,Programa de apoyo a la agricultura a través de insumos estratégicos,"72,601,064.00",2018
09,000,305,"Promoción Comercial de Productos Agropecuarios y Acuícolas en Ferias, Expos y Giras Comerciales","5,428,843.53",2018
09,000,319,"Programa de planeación, capacitación y desarrollo rural sustentable en el Estado de Jalisco","54,863,442.20",2018
09,000,320,Administración y Operación de Recursos de la SEDER,"143,740,895.16",2018
09,038,200,Construcción de Obras Hidráulicas en el Estado,"25,000,000.00",2018
09,038,318,Programa de Concurrencia,"71,450,000.00",2018
09,038,917,Programa de proyectos estratégicos del FACEJ,"93,562,500.00",2018
10,000,321,Gestión Sustentable del Territorio,"105,761,389.00",2018
10,000,326,Ordenamiento Ecológico y Territorial,"23,798,026.00",2018
10,000,327,Desarrollo urbano,"14,980,725.00",2018
10,000,328,Gestión Ambiental en el Estado de Jalisco,"47,804,536.00",2018
10,000,329,Gobernanza para la sustentabilidad,"40,678,398.12",2018
10,000,330,"Manejo, Conservación, Restauración y Protección de los ecosistemas del Estado","101,448,793.70",2018
10,000,333,"Transparencia, Eficiencia y Gestión Administrativa en la Secretaria del Medio Ambiente y Desarrollo Territorial","35,082,079.37",2018
10,000,905,Conservación y Manejo de los Ecosistemas y Biodiversidad del Estado,"39,022,473.00",2018
10,025,745,Desarrollo Urbano Sustentable en el Estado de Jalisco,"1,000,000.00",2018
10,040,332,Atención a personas que visitan los parques Solidaridad y Montenegro,"18,428,470.00",2018
10,041,331,Administración y Operación del Parque Metropolitano de Guadalajara,"15,357,952.00",2018
10,042,324,Administración y Manejo del Área de Protección de Flora y Fauna La Primavera,"19,301,247.00",2018
10,043,325,"Programa de Impulso al Desarrollo de los Sectores Agropecuarios, Forestal y Vida Silvestre","6,745,397.00",2018
10,082,918,Planeación Urbana para la restitución de garantías a grupos vulnerables,"571,900.02",2018
10,082,921,"Desarrollo Urbano sostenible, equitativo y ordenado","24,040,419.98",2018
10,156,322,"Normatividad, Seguridad y Justicia Ambiental","16,726,732.00",2018
10,799,920,Gestión estratégica para el desarrollo sustentable de Jalisco,"83,508,366.00",2018
11,000,335,Estrategias para la Superación de la Pobreza y Desarrollo Territorial,"165,843,283.73",2018
11,000,337,"Ampliación de Oportunidades Educativas para Niñas, Niños y Jóvenes","448,433,065.73",2018
11,000,342,Bienestar económico y social para los adultos mayores,"626,791,637.22",2018
11,000,346,Coinversión Social,"69,973,386.98",2018
11,000,347,Seguridad Alimentaria,"69,297,464.92",2018
11,000,350,Atención a Desastres Naturales,"3,737,803.16",2018
11,000,351,Fortalecimiento Institucional para la Operación de Programas Sociales,"52,353,363.61",2018
11,000,912,Inclusión de Personas con Discapacidad,"58,531,512.31",2018
11,000,913,Apoyo al ingreso del hogar con jefatura femenina,"209,096,801.08",2018
11,045,356,Bienestar de la niñez y sus familias,"95,229,390.89",2018
11,045,357,Bienestar alimentario y desarrollo comunitario,"752,824,787.80",2018
11,045,358,Inclusión para el Bienestar de Grupos Prioritarios,"216,951,293.30",2018
11,045,701,Museo Trompo Mágico,"24,964,414.04",2018
11,046,373,"Atención integral de niñas, niños y adolescentes en situación de vulnerabilidad","91,033,707.00",2018
11,047,378,Servicios de Asistencia Social a Grupos Vulnerables,"49,852,000.00",2018
11,048,382,Desarrollo Integral de los Pueblos Indígenas,"5,838,940.00",2018
11,049,384,Cultura de envejecimiento y respeto a los Adultos Mayores,"9,226,175.64",2018
11,081,708,Fideicomiso Fondo Estatal de Desastres Naturales Jalisco (FOEDEN),"58,462,418.00",2018
11,140,362,Atención a Jaliscienses en el Extranjero,"4,500,000.00",2018
11,157,345,Desarrollo e Inclusión de Personas con Discapacidad,"8,647,629.98",2018
11,159,360,Atención para el Desarrollo de Migrantes,"5,484,884.61",2018
12,000,391,Programa de Impulso a la Ciencia y Desarrollo Tecnológico,"8,756,661.00",2018
12,000,392,"Educación superior con calidad, pertinencia, equidad y flexibilidad","138,279,740.00",2018
12,000,437,"Proyectos de Innovación, Empresarial y Social","13,453,965.00",2018
12,000,692,"Conducción de la Política de Innovación, Ciencia y Tecnología.","50,773,410.58",2018
12,050,395,Educación Superior Tecnológica en las Regiones (UTJ),"43,635,390.00",2018
12,058,406,Educación Superior Tecnológica en las Regiones (UTZMG),"19,936,708.00",2018
12,063,420,Educación Superior Tecnológica en las Regiones (UPZMG),"13,718,093.00",2018
12,067,660,"Gestión de Fondos y Programas de Apoyo de Ciencia, Tecnología e Innovación","68,899,034.00",2018
12,067,661,Operación del Fondo de Ciencia y Tecnología de Jalisco,"77,925,000.00",2018
12,115,220,Ciudad Creativa Digital,"35,165,492.00",2018
12,116,401,Educación Superior Tecnológica en las Regiones,"279,678,058.00",2018
12,147,818,Desarrollo y ejecución de la política y estrategia energética del Estado,"9,825,428.54",2018
13,000,447,Programa de Desarrollo Cultural en los Municipios,"33,703,943.90",2018
13,000,453,Programa de Protección y Aprovechamiento del Patrimonio Cultural de Jalisco,"45,419,718.00",2018
13,000,464,Programa de Fomento Cultural y Artístico,"81,760,587.40",2018
13,000,814,Programa para el Desarrollo del Sector Artístico,"29,763,932.00",2018
13,000,816,"Programa para la Planeación, Difusión, Operación y Evaluación de la Política Cultural.","83,616,459.07",2018
13,000,906,Programa de Fomento a la Lectura,"70,130,607.40",2018
13,000,907,Programa de Formación Artística,"7,506,101.20",2018
13,069,427,"Programa de conservación, promoción y difusión del Instituto Cultural Cabañas","21,154,072.00",2018
13,071,436,Radio y Televisión Jalisciense,"61,828,116.00",2018
13,072,465,"Programa de Operación, Promoción y Difusión de la Orquesta Filarmónica de Jalisco","50,876,270.00",2018
13,083,445,Programa de Fomento a la Cultura y las Artes en el Estado de Jalisco,"45,262,062.94",2018
13,083,448,"Sistema Estatal de Ensambles y Orquestas Comunitarias: ECOS, Música para el Desarrollo","34,235,142.00",2018
